"","trans.prediction.low","trans.prediction","trans.prediction.high","StatWeek"
"1",0.128822979444658,0.530326796159829,0.403342200439741,24
"2",0.366127401524898,0.528686895740599,0.602060566638281,25
"3",0.399714033769442,0.482840840321405,0.691859826673424,26
"4",0.261174750917507,0.399096234716078,0.69800538900445,27
"5",0.110246754415135,0.291202286264171,0.631851591997627,28
"6",0.0369802859927158,0.183237303326028,0.48751191568797,29
"7",0.0131563829605629,0.0987580342586559,0.288507684309361,30
"8",0.00624071155191906,0.0461952745945413,0.120094437874183,31
"9",0.00466312960849302,0.0191935134406991,0.0357988048426457,32
"10",0.00622967501941962,0.00724094573437832,0.00826372580489043,33
"11",0.0163459321695746,0.00252152252178934,0.00156891146380076,34
"12",0.0862855480601555,0.000819854835804698,0.000253039367715516,35
