"","df","AICc"
"A1",3,167.980231209808
"A2",4,168.21336808169
"A3",5,167.141494671118
"A4",3,142.393563323064
"A5",4,134.183053919626
"A6",5,136.888915395164
"A7",3,885.474882333963
"A8",4,875.048224237702
"A9",5,874.527363507519
